PUPIL_NUMBER	ENTER_DATE	EXIT_DATE
246595	1/5/2011	
246355	11/30/2010	
114448	9/2/2003	6/11/2009
251341	9/6/2011	
186432	9/5/2006	6/11/2009
110804	9/2/2003	6/16/2006
114422	9/7/2004	6/3/2005
186442	9/5/2006	
236753	9/9/2006	
186530	9/4/2007	
186538	9/5/2006	6/15/2011
206955	9/4/2007	6/15/2011
249369	9/6/2011	
176287	11/14/2005	3/9/2006
177137	9/5/2006	
246586	9/15/2005	
110777	9/2/2003	6/16/2006
250955	9/6/2011	
175237	9/5/2006	6/15/2007
110978	10/1/2003	6/15/2007
174889	1/3/2007	
182816	9/15/2006	
235987	9/8/2009	
186711	10/11/2006	
236972	9/8/2009	
249388	9/6/2011	
111087	9/2/2003	
206826	9/4/2007	
206836	9/4/2007	
206840	9/4/2007	
187494	10/11/2006	
175110	9/6/2005	
175112	9/5/2006	
175114	9/6/2005	
174381	9/15/2005	
252365	9/6/2011	
178097	12/5/2005	
187461	9/12/2006	
111300	9/2/2003	9/4/2007
111363	9/5/2000	6/15/2007
236585	9/9/2009	6/16/2010
111345	9/2/2003	6/16/2006
111449	9/3/2002	6/16/2005
111287	9/2/2003	6/16/2005
111291	12/15/2003	6/15/2007
111627	9/7/2004	6/16/2006
111759	9/2/2003	6/15/2007
111761	9/6/2003	
111672	9/3/2002	6/16/2005
111656	9/5/2000	
111658	9/2/2003	6/16/2006
111571	9/2/2003	6/16/2006
111469	9/2/2003	6/15/2007
111854	9/2/2003	6/11/2009
111380	9/5/2000	6/16/2006
111696	9/3/2002	6/16/2006
111699	9/3/2002	6/16/2006
111396	9/3/2002	6/16/2006
111499	9/2/2003	6/11/2009
111500	9/2/2003	6/15/2007
111412	9/6/2003	6/16/2006
111708	9/3/2002	6/16/2006
111607	9/2/2003	
112454	9/3/2002	6/16/2005
111931	1/30/2003	6/16/2006
178466	1/3/2006	
111795	9/2/2003	6/16/2006
112267	9/2/2003	6/16/2005
111941	9/2/2003	6/15/2006
112361	9/2/2003	9/25/2006
206861	9/4/2007	6/16/2010
249099	9/6/2011	
113130	9/2/2003	9/20/2006
178623	10/19/2005	
114070	2/11/2003	
113887	9/2/2003	9/25/2006
190749	9/2/2008	
186472	9/5/2006	6/15/2011
186772	9/6/2005	
206874	9/4/2007	
206871	9/4/2007	6/16/2010
246763	9/6/2011	
182726	9/4/2007	
248436	9/6/2011	
198143	12/5/2006	
248427	9/6/2011	
241486	9/7/2010	
241487	9/7/2010	
238083	8/31/2006	6/15/2011
241465	9/7/2010	
188399	9/4/2007	
238085	8/31/2008	
181921	5/19/2006	6/15/2007
182773	9/4/2007	6/11/2009
190350	9/11/2006	
249069	9/6/2011	
249306	9/6/2011	
190291	9/12/2006	
236150	9/6/2011	
198141	12/5/2006	
198142	12/5/2006	
239069	12/4/2009	
191029	9/12/2006	6/14/2007
183158	1/6/2007	
183212	9/5/2006	10/2/2008
183140	9/5/2006	
183142	9/5/2006	6/15/2011
243658	9/29/2010	
254378	3/19/2012	
132253	9/2/2003	6/15/2011
132431	9/2/2003	6/16/2005
132300	9/6/2004	6/16/2006
132321	9/2/2003	6/16/2010
133846	9/8/2003	
135047	9/2/2003	3/29/2011
135029	9/29/2003	
135030	4/1/2003	3/29/2011
153848	2/23/2004	
153853	2/23/2004	
238319	8/4/2008	
238320	2/7/2008	6/17/2010
206806	1/23/2008	
155936	9/6/2004	9/18/2008
156286	9/7/2004	
156276	9/7/2004	
156299	9/7/2004	
156006	9/7/2004	11/29/2005
156009	9/6/2005	6/16/2006
156041	9/5/2006	6/16/2010
156030	9/7/2004	6/16/2006
162759	9/7/2004	3/14/2005
207272	9/14/2007	
162161	9/7/2004	6/16/2006
162615	9/6/2004	6/15/2011
166994	9/7/2004	6/16/2005
167145	9/5/2006	9/4/2007
167143	1/12/2005	
245170	9/29/2010	6/15/2011
168400	3/1/2005	6/16/2005
168413	3/1/2005	6/16/2006
171059	9/5/2006	6/15/2011
171663	9/6/2005	6/15/2011
171737	1/17/2007	6/16/2010
171071	9/5/2006	
171074	9/5/2006	6/15/2007
171337	9/6/2005	
171364	9/15/2006	
171587	9/5/2005	11/14/2008
199575	4/20/2007	
198905	2/7/2007	9/4/2007
199593	4/3/2007	
218233	10/26/2001	
206316	9/4/2007	
206651	9/15/2008	
242305	9/9/2008	
242307	9/1/2007	
242229	9/6/2010	
216098	9/4/2007	
215703	9/4/2007	6/11/2009
232479	11/17/2008	
215708	9/4/2007	6/11/2009
216383	9/4/2007	
216117	9/4/2007	
216676	9/4/2007	
215905	9/4/2007	
215988	9/4/2007	
218318	10/9/2008	
242005	9/29/2010	6/15/2011
218786	10/31/2007	
218697	10/23/2007	
218565	10/9/2007	
241954	9/29/2010	
220106	3/17/2008	
241958	9/29/2010	
241965	9/29/2010	6/15/2011
241966	9/29/2010	
233944	9/8/2009	
231438	11/19/2008	6/15/2011
229558	9/8/2008	
233699	3/10/2009	
230830	10/30/2008	
231314	9/2/2008	
233700	3/10/2009	
226090	9/15/2008	
232155	9/7/2004	6/11/2009
231840	9/12/2005	
225696	9/2/2008	
225166	9/2/2008	
225474	9/2/2008	
225492	9/2/2008	
225304	9/2/2008	6/17/2010
225221	9/15/2008	
225238	9/15/2008	
225520	9/2/2008	
232344	5/2/2008	
233801	9/8/2009	
233811	9/8/2009	
233607	9/8/2009	
233621	9/8/2009	
227902	9/2/2008	
225571	9/15/2008	
233431	9/8/2009	
244980	9/6/2011	
233442	9/8/2009	
244414	9/7/2010	
250826	9/6/2011	
254081	2/21/2012	
