PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
255963	2043	15
253084	2043	15
253663	2043	15
253867	2043	15
247235	2043	15
253464	2043	15
252874	2043	15
249732	2043	15
250411	2043	15
250436	2043	15
250485	2043	15
250499	2043	15
250556	2043	15
250573	2043	15
251151	2043	15
251152	2043	15
251157	2043	15
251168	2043	15
251768	2043	15
251770	2043	15
251772	2043	15
251773	2043	15
251774	2043	15
238228	2043	15
246185	2043	15
253417	2043	15
255957	2043	15
100060	2082	15
245935	2043	15
246890	2043	15
234744	2043	15
234750	2043	15
247761	2043	15
245703	2043	15
245987	2043	15
246646	2043	15
247144	2043	15
246642	2043	15
248894	2043	15
248914	2043	15
248916	2043	15
248921	2043	15
237261	2043	15
236836	2043	15
226559	2043	15
246640	2043	15
251699	2043	15
251280	2043	15
251284	2043	15
251289	2043	15
251290	2043	15
251011	2043	15
251033	2043	15
251124	2043	15
251297	2043	15
251594	2055	15
251598	2055	15
251420	2043	15
251456	2043	15
251756	2043	15
251763	2043	15
251379	2043	15
251539	2043	15
251554	2043	15
251556	2043	15
251563	2043	15
251608	2043	15
251402	2043	15
251246	2043	15
251043	2043	15
251047	2043	15
234996	2043	15
234957	2043	15
234902	2043	15
226566	2043	15
235003	2043	15
235016	2043	15
235028	2043	15
235072	2043	15
234911	2043	15
238226	2043	15
246685	2043	15
247125	2043	15
191313	2083	15
187372		15
245368	2043	15
245369	2043	15
245370	2043	15
246229	2043	15
234772	2043	15
234778	2043	15
234786	2043	15
234909	2043	15
234917	2043	15
234932	2043	15
234936	2043	15
234948	2043	15
234978	2043	15
239850	2043	15
239025	2055	15
234990	2043	15
237794	2043	15
237658	2043	15
240091	2043	15
240092	2043	15
240094	2043	15
240114	2043	15
234993	2043	15
234792	2043	15
234989	2043	15
234755	2043	15
239893	2043	15
234785	2043	15
234823	2043	15
234831	2043	15
245973	2043	15
248044	2043	15
239968	2043	15
245882	2043	15
234536	2043	15
234567	2043	15
235005	2043	15
235017	2043	15
235018	2043	15
234850	2043	15
234859	2043	15
234862	2043	15
234873	2043	15
234878	2043	15
251201	2043	15
251570	2043	15
251576	2043	15
251605	2043	15
239279	2043	15
239283	2043	15
246895	2043	15
236855	2043	15
242495	2043	15
242531	2043	15
242532	2043	15
242410	2043	15
242415	2043	15
237760	2043	15
239961	2043	15
239101	2043	15
243188	2043	15
236879	2043	15
236880	2043	15
236883	2043	15
236884	2043	15
234851	2043	15
234867	2043	15
234874	2043	15
234893	2043	15
234894	2043	15
234754	2043	15
238392	2043	15
238435	2043	15
239636	2043	15
239638	2043	15
237083	2043	15
