SIS_NUMBER	INTERNET_AUTORIZATION
100060	30
245935	30
246890	30
234744	30
234750	30
247761	30
245703	30
245987	30
246646	30
247144	30
246642	30
248894	30
248914	50
248916	30
248921	30
237261	30
236836	30
226559	40
246640	30
251699	30
251280	30
251284	30
251289	30
251290	30
251011	40
251033	40
251124	40
251297	30
251594	40
251598	30
251420	30
251456	40
251756	30
251763	30
251379	30
251539	30
251554	30
251556	30
251563	30
251608	30
251402	30
255963	30
253084	30
253663	30
253867	30
247235	30
253464	30
252874	40
249732	30
250411	30
250436	30
250485	30
250499	30
250556	30
250573	30
251151	30
251152	30
251157	30
251168	30
251768	30
251770	30
251772	30
251773	30
251774	30
238228	30
246185	30
253417	30
255957	30
237088	30
234791	30
234798	30
234802	30
234806	30
238487	30
250087	30
245528	30
245536	30
246652	30
174228	30
246110	30
247736	30
234575	30
251246	30
251043	30
251047	30
234996	30
234957	30
234902	30
226566	30
235003	30
235016	30
235028	30
235072	30
234911	30
238226	30
246685	30
247125	30
191313	30
187372	40
245368	30
245369	30
245370	30
246229	40
234772	30
234778	30
234786	30
234909	30
234917	30
234932	30
234936	30
234948	30
234978	30
239850	30
239025	30
234990	30
237794	30
237658	30
240091	30
240092	30
240094	30
240114	30
234993	30
234792	30
234989	30
234755	30
239893	30
234785	30
234823	30
234831	30
245973	30
248044	30
239968	30
245882	30
234536	30
234567	30
235005	30
235017	30
235018	30
234850	30
234859	30
234862	30
234873	30
234878	30
251201	30
251570	30
251576	30
251605	30
239279	30
239283	30
246895	30
236855	30
242495	30
242531	30
242532	30
242410	30
242415	30
237760	30
239961	30
239101	30
243188	30
236879	30
236880	30
236883	30
236884	30
234851	30
234867	30
234874	30
234893	30
234894	30
234754	30
238392	30
238435	30
239636	30
239638	30
237083	30
237084	30
237085	30
237086	30
237087	30
239185	30
239189	30
238611	30
234538	50
234539	30
234540	30
237115	30
237116	30
245950	30
234553	30
245953	30
250335	30
250336	30
226563	30
246322	30
246512	30
246327	30
246491	30
245963	30
247797	30
247474	30
249153	30
249154	30
249155	30
249156	30
249161	30
249165	30
249172	30
249173	30
249180	30
246671	30
246672	30
246675	30
249185	30
249186	30
246176	30
174957	30
249189	30
249190	30
249194	30
249199	30
249200	30
249202	30
245772	30
252000	30
245589	30
245593	30
250927	30
252542	30
251332	40
251352	40
251356	40
252929	30
253133	40
234569	30
247383	30
247384	30
247387	30
246460	30
234584	30
246088	30
245746	30
234593	30
246089	30
246090	30
249121	30
249122	30
246437	30
247794	30
249841	30
251405	30
251431	30
251432	30
251449	30
251459	30
251461	30
251480	30
251485	30
249998	30
245826	30
246899	30
250011	30
250055	30
250063	30
250064	30
250067	30
247539	30
234561	30
245453	30
238842	30
238871	30
238906	40
239091	30
239115	40
239116	40
246459	30
249501	30
250899	30
250900	30
238985	30
239043	30
238986	30
234837	30
234879	30
250866	30
250869	30
250949	30
250874	30
250877	30
250878	30
234573	30
234590	30
234597	30
234515	40
238231	30
238258	30
238299	30
235480	30
235509	30
246157	30
246937	30
239285	30
235407	40
235413	40
235436	40
235756	30
245627	30
245633	30
238979	30
237493	30
237494	30
237495	30
246968	30
237370	30
237390	30
237497	30
237498	30
237499	30
236776	30
237535	30
237536	30
237543	30
237548	30
246340	30
239648	30
177227	30
239027	30
235745	30
177228	30
237551	30
237552	30
237555	30
237556	30
237559	30
237560	30
246350	30
246359	30
246360	30
226567	30
234810	30
234819	30
234830	40
234835	30
234836	30
234840	30
234843	30
237561	30
237562	30
237565	30
237566	30
237567	30
247377	30
247471	30
238744	30
238752	30
238769	30
238770	30
239789	30
239790	30
240082	30
237569	30
234844	40
234845	30
234853	30
234863	30
234866	30
246923	30
235124	30
235136	30
238773	30
246924	30
240113	30
240116	30
240121	30
245756	30
250525	30
250541	30
250542	30
