PUPIL_NUMBER	SCHOOL	NOTE_DATE	REPLACE(REPLACE((SELECTEDP_CONV.NOTE_LONG_TO_VARCH(N.PUPIL_NUMBER,COALESCE(N.MOD_DATE,N.ENTRY_DATE))FROMDUAL),CHR(10)),CHR(13))
114502	290	10/16/2008	home #disc. c/cell 260.9101 l/m
114502	290	11/3/2008	left early ill
114504	290	4/6/2004	
114504	290	4/21/2004	
114504	290	9/9/2008	mised bus
114504	290	11/20/2008	overslept
114504	290	12/10/2008	#disconnected
114504	290	10/29/2008	overslept
114504	290	2/20/2009	no #
114504	290	10/22/2008	late/overslept
114504	290	10/3/2008	slept in
114505	290	10/23/2008	left ealry dental appt
114505	290	10/30/2008	left early dr.appt
114505	290	11/18/2008	#disconnectedrcvd note ill
114505	290	2/20/2009	left early ill
114505	290	10/29/2008	
114505	290	10/29/2008	
114505	290	2/18/2009	l/mrcvd note ill
114505	290	11/12/2008	planned/rcvd note out of town
114508	197	9/26/2003	Arm surgery
114508	197	9/30/2003	arm prob/ex.
114508	197	10/1/2003	checked in late
114508	197	11/17/2003	late/8:17
114508	197	9/29/2003	ex
114508	197	12/3/2003	late/8:20
114508	197	11/25/2003	late
114508	197	11/21/2003	late/8:18
114508	197	10/22/2003	left/2:40
114508	197	12/11/2003	late 8:17
114508	197	11/24/2003	l/m
114508	197	1/21/2004	late
114508	197	1/12/2004	late
114508	197	1/8/2004	late
114508	197	1/15/2004	late
114508	197	2/5/2004	sore throat
114508	197	2/4/2004	late 9:47-ortho appt
114508	197	2/9/2004	late
114508	197	2/6/2004	late 8:48
114508	197	1/13/2004	late
114508	197	2/2/2004	late
114508	197	2/17/2004	mom c/home sick
114508	197	2/19/2004	late
114508	197	2/27/2004	late
114508	197	3/11/2004	late
114508	197	3/9/2004	late
114508	197	4/7/2004	
114508	197	4/5/2004	appt.
114508	197	4/2/2004	late
114508	197	4/30/2004	left early
114508	197	6/3/2004	late
114508	197	4/8/2004	having pictures taken
114508	197	10/12/2004	late @ 8:17
114508	197	10/27/2004	left early
114508	197	5/21/2004	late
114508	197	9/14/2004	left @ 1:28 for appt.
114508	197	5/26/2004	late
114508	197	9/23/2004	late @8:26
114508	197	4/22/2004	mom emailed note to Dan/also spoke w/me.  Son w/b out of town w/her @ a soroptimist conference.
114508	197	4/23/2004	
114508	197	4/7/2004	
114508	197	5/7/2004	late
114508	197	9/30/2004	Rcvd note / @ Dr.appt.
114508	197	5/20/2004	late/Dental
114508	197	5/13/2004	late
114508	197	10/5/2004	LATE/BRIDGE UP
114508	197	5/27/2004	mom c/hoping to get him here later/not feeling well this amdon't think he ever came in
114508	197	4/21/2004	late
114508	197	1/26/2005	late
114508	197	10/18/2004	mom c/not here today
114508	197	10/19/2004	late
114508	197	11/24/2004	parent c/
